Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1723064490,10,POST,post_users for Sarah,0.333333,0.000000,220,230,230,230,230,230,230,230,230,230,230,5,0,220.0,222.9432378007914,215.59916800106294,233.3555149998574,79.0
1723064490,10,,Aggregated,3.000000,0.000000,180,220,230,230,240,290,320,320,320,320,320,28,0,91,140.54516285744154,23.166406001109863,319.637092998164,622.0357142857143
1723064491,10,GET,get_users,1.857143,0.000000,71,77,83,87,91,180,180,180,180,180,180,17,0,76,65.82070558836088,23.166406001109863,179.00193400055286,1030.0
1723064491,10,POST,post_users for John,0.428571,0.000000,290,290,290,290,290,290,290,290,290,290,290,3,0,240.0,245.9576946675952,215.544865000993,286.7213030003768,78.0
1723064491,10,POST,post_users for Ken,0.571429,0.000000,230,230,230,320,320,320,320,320,320,320,320,5,0,230.0,242.91532219940564,215.45885900195572,319.637092998164,77.0
1723064491,10,POST,post_users for Sarah,0.714286,0.000000,220,230,230,230,230,230,230,230,230,230,230,5,0,220.0,222.9432378007914,215.59916800106294,233.3555149998574,79.0
1723064491,10,,Aggregated,3.571429,0.000000,180,220,230,230,240,290,320,320,320,320,320,30,0,91,139.5372626335302,23.166406001109863,319.637092998164,617.4666666666667
1723064492,10,GET,get_users,1.857143,0.000000,30,76,78,83,91,180,180,180,180,180,180,21,0,31,58.076984476342446,23.166406001109863,179.00193400055286,1030.0
1723064492,10,POST,post_users for John,0.428571,0.000000,290,290,290,290,290,290,290,290,290,290,290,3,0,240.0,245.9576946675952,215.544865000993,286.7213030003768,78.0
1723064492,10,POST,post_users for Ken,0.571429,0.000000,230,230,230,320,320,320,320,320,320,320,320,5,0,230.0,242.91532219940564,215.45885900195572,319.637092998164,77.0
1723064492,10,POST,post_users for Sarah,0.714286,0.000000,220,230,230,230,230,230,230,230,230,230,230,5,0,220.0,222.9432378007914,215.59916800106294,233.3555149998574,79.0
1723064492,10,,Aggregated,3.571429,0.000000,87,220,220,230,230,290,320,320,320,320,320,34,0,87,126.08183994138123,23.166406001109863,319.637092998164,666.0
1723064493,10,GET,get_users,1.750000,0.000000,28,31,76,77,91,180,180,180,180,180,180,22,0,30,56.613234045719516,23.166406001109863,179.00193400055286,1030.0
1723064493,10,POST,post_users for John,0.375000,0.000000,290,290,290,290,290,290,290,290,290,290,290,3,0,240.0,245.9576946675952,215.544865000993,286.7213030003768,78.0
1723064493,10,POST,post_users for Ken,0.500000,0.000000,230,230,230,230,320,320,320,320,320,320,320,6,0,220.0,238.71391733276445,215.45885900195572,319.637092998164,77.0
1723064493,10,POST,post_users for Sarah,0.625000,0.000000,220,230,230,230,230,230,230,230,230,230,230,5,0,220.0,222.9432378007914,215.59916800106294,233.3555149998574,79.0
1723064493,10,,Aggregated,3.250000,0.000000,91,220,220,230,230,290,320,320,320,320,320,36,0,87,125.84344238914329,23.166406001109863,319.637092998164,659.75
1723064494,10,GET,get_users,1.888889,0.000000,27,30,31,71,91,180,180,180,180,180,180,23,0,30,55.382350913335,23.166406001109863,179.00193400055286,1030.0
1723064494,10,POST,post_users for John,0.333333,0.000000,230,230,290,290,290,290,290,290,290,290,290,4,0,230.0,242.76591175021167,215.544865000993,286.7213030003768,78.0
1723064494,10,POST,post_users for Ken,0.444444,0.000000,220,230,230,230,320,320,320,320,320,320,320,7,0,220.0,235.26111057123802,214.54427000207943,319.637092998164,77.0
1723064494,10,POST,post_users for Sarah,0.555556,0.000000,220,230,230,230,230,230,230,230,230,230,230,5,0,220.0,222.9432378007914,215.59916800106294,233.3555149998574,79.0
1723064494,10,,Aggregated,3.222222,0.000000,180,220,220,230,230,290,320,320,320,320,320,39,0,91,128.36927387205577,23.166406001109863,319.637092998164,639.3846153846154
1723064495,10,GET,get_users,2.000000,0.000000,26,28,30,31,71,76,76,76,76,76,76,23,0,30,55.382350913335,23.166406001109863,179.00193400055286,1030.0
1723064495,10,POST,post_users for John,0.300000,0.000000,230,230,290,290,290,290,290,290,290,290,290,5,0,230.0,238.19053680053912,215.544865000993,286.7213030003768,78.0
1723064495,10,POST,post_users for Ken,0.600000,0.000000,220,230,230,230,320,320,320,320,320,320,320,7,0,220.0,235.26111057123802,214.54427000207943,319.637092998164,77.0
1723064495,10,POST,post_users for Sarah,0.500000,0.000000,230,230,230,230,230,230,230,230,230,230,230,6,0,220.0,224.77166183428685,215.59916800106294,233.91378200176405,79.0
1723064495,10,,Aggregated,3.400000,0.000000,210,220,220,230,230,290,320,320,320,320,320,41,0,91,133.1757195125314,23.166406001109863,319.637092998164,612.0243902439024
1723064496,10,GET,get_users,2.000000,0.000000,26,27,28,28,30,31,31,31,31,31,31,25,0,28,52.95032856010948,23.166406001109863,179.00193400055286,1030.0
1723064496,10,POST,post_users for John,0.300000,0.000000,230,230,290,290,290,290,290,290,290,290,290,5,0,230.0,238.19053680053912,215.544865000993,286.7213030003768,78.0
