Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,get_users,49,0,27,40.2244015717677,23.109495003154734,179.00193400055286,1030.0,1.701449331801572,0.0,27,30,31,71,87,91,180,180,180,180,180
POST,post_users for John,15,0,230.0,238.83443586649568,215.544865000993,286.7213030003768,77.93333333333334,0.5208518362657873,0.0,230,240,240,280,290,290,290,290,290,290,290
POST,post_users for Ken,17,0,230.0,234.89703835280926,214.54427000207943,319.637092998164,76.88235294117646,0.5902987477678924,0.0,230,230,230,230,290,320,320,320,320,320,320
POST,post_users for Sarah,12,0,220.0,224.0045271667744,215.59916800106294,233.91378200176405,79.0,0.41668146901262987,0.0,220,230,230,230,230,230,230,230,230,230,230
,Aggregated,93,0,91,131.5571633657323,23.109495003154734,319.637092998164,579.505376344086,3.2292813848478814,0.0,91,220,230,230,230,280,290,320,320,320,320
